Location,Giardiasis_2014,Giardiasis_2015,Giardiasis_2016,Giardiasis_2017,Giardiasis_2018
Alabama,162,156,206,192,182
Alaska,54,52,74,70,52
Arizona,108,105,127,137,144
Arkansas,108,104,124,156,117
California,1675,1716,2334,2634,2322
Colorado,308,297,141,521,516
Connecticut,236,197,205,217,196
Delaware,0,0,0,0,0
District of Columbia,34,10,0,0,30
Florida,1128,1072,1107,1047,964
Georgia,605,437,604,631,416
Hawaii,42,41,32,47,40
Idaho,123,156,156,156,115
Illinois,158,0,0,0,0
Indiana,158,120,155,158,156
Iowa,231,109,162,231,221
Kansas,106,104,104,96,104
Kentucky,0,0,0,0,0
Louisiana,223,182,155,74,47
Maine,204,109,104,104,104
Maryland,222,250,223,188,156
Massachusetts,642,611,631,506,509
Michigan,517,443,418,504,414
Minnesota,116,65,53,73,68
Mississippi,0,0,0,0,0
Missouri,228,119,58,257,208
Montana,104,67,78,104,85
Nebraska,130,105,104,104,104
Nevada,54,52,14,46,19
New Hampshire,55,85,104,88,104
New Jersey,228,162,229,237,241
New Mexico,72,68,52,67,52
New York,941,822,859,816,830
North Carolina,0,0,0,0,0
North Dakota,27,29,25,13,22
Ohio,442,364,345,268,332
Oklahoma,0,0,0,0,0
Oregon,360,334,312,290,335
Pennsylvania,721,636,610,564,563
Rhode Island,1,0,32,50,51
South Carolina,127,110,104,127,183
South Dakota,108,100,104,104,90
Tennessee,0,0,0,0,0
Texas,0,0,0,0,0
Utah,216,173,159,151,157
Vermont,145,66,0,0,0
Virginia,241,260,290,245,264
Washington,457,378,311,257,202
West Virginia,54,52,52,40,41
Wisconsin,367,348,427,424,511
Wyoming,0,0,1,16,0
,,,,,
TOTAL United States,12238,10666,11385,12010,11267
