Row Labels,"Sum of Giardiasis, Previous 52 weeks Med"
ALABAMA,156
ALASKA,52
AMER. SAMOA,
ARIZONA,105
ARKANSAS,104
C.N.M.I.,
CALIFORNIA,1716
COLORADO,297
CONNECTICUT,197
DELAWARE,0
DIST. OF COL.,10
E.N. CENTRAL,1280
E.S. CENTRAL,156
FLORIDA,1072
GEORGIA,437
GUAM,0
HAWAII,41
IDAHO,156
ILLINOIS,0
INDIANA,120
IOWA,109
KANSAS,104
KENTUCKY,0
LOUISIANA,182
MAINE,109
MARYLAND,250
MASSACHUSETTS,611
MICHIGAN,443
MID. ATLANTIC,2431
MINNESOTA,65
MISSISSIPPI,0
MISSOURI,119
MONTANA,67
MOUNTAIN,934
NEBRASKA,105
NEVADA,52
NEW ENGLAND,1102
NEW HAMPSHIRE,85
NEW JERSEY,162
NEW MEXICO,68
NEW YORK,822
NEW YORK CITY,797
NORTH CAROLINA,0
NORTH DAKOTA,29
OHIO,364
OKLAHOMA,0
OREGON,334
PACIFIC,2688
PENNSYLVANIA,636
PUERTO RICO,0
RHODE ISLAND,0
S. ATLANTIC,2306
SOUTH CAROLINA,110
SOUTH DAKOTA,100
TENNESSEE,0
TEXAS,0
UNITED STATES,11939
UTAH,173
VERMONT,66
VIRGIN ISL.,0
VIRGINIA,260
W.N. CENTRAL,734
W.S. CENTRAL,328
WASHINGTON,378
WEST VIRGINIA,52
WISCONSIN,348
WYOMING,0
(blank),
Grand Total,35361
